"表章項目","男女別","人口","時間軸（年月日現在）","全国・都道府県","/年齢5歳階級","総数","注釈","0～4歳","注釈","5～9歳","注釈","10～14歳","注釈","15～19歳","注釈","20～24歳","注釈","25～29歳","注釈","30～34歳","注釈","35～39歳","注釈","40～44歳","注釈","45～49歳","注釈","50～54歳","注釈","55～59歳","注釈","60～64歳","注釈","65～69歳","注釈","70～74歳","注釈","75～79歳","注釈","80～84歳","注釈","85歳以上","注釈"
"人口【千人】","男女計","日本人人口","2019年10月1日現在","群馬県","","1886","","66","","75","","84","","93","","82","","77","","90","","105","","128","","147","","127","","115","","120","","142","","142","","116","","81","","97",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","埼玉県","","7174","","268","","289","","307","","331","","375","","362","","380","","433","","514","","605","","517","","431","","406","","483","","504","","434","","284","","251",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","千葉県","","6141","","226","","242","","259","","282","","310","","297","","321","","367","","435","","509","","435","","369","","352","","422","","445","","378","","254","","238",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","東京都","","13405","","520","","503","","488","","526","","781","","866","","884","","954","","1040","","1144","","1010","","823","","682","","730","","772","","669","","497","","517",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","神奈川県","","8997","","338","","362","","378","","411","","492","","477","","491","","558","","659","","775","","693","","562","","482","","548","","577","","501","","348","","344",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","新潟県","","2206","","75","","86","","92","","100","","88","","87","","105","","122","","145","","154","","142","","138","","151","","179","","162","","132","","109","","137",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","富山県","","1026","","35","","39","","44","","48","","42","","39","","47","","55","","69","","80","","66","","62","","63","","77","","84","","67","","48","","61",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","石川県","","1123","","43","","46","","50","","56","","53","","49","","55","","62","","77","","87","","72","","67","","68","","79","","86","","67","","46","","59",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","福井県","","756","","29","","32","","35","","37","","32","","30","","36","","41","","49","","54","","48","","48","","50","","57","","54","","44","","34","","45",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","山梨県","","798","","28","","31","","34","","40","","36","","33","","37","","42","","50","","58","","55","","52","","53","","60","","57","","49","","37","","46",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","長野県","","2016","","74","","83","","91","","98","","77","","75","","91","","107","","133","","150","","133","","125","","128","","147","","149","","128","","96","","132",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","岐阜県","","1940","","72","","82","","89","","97","","87","","77","","90","","105","","128","","147","","128","","120","","120","","142","","146","","121","","88","","99",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","静岡県","","3557","","130","","148","","159","","168","","143","","144","","177","","202","","238","","273","","241","","222","","226","","263","","262","","222","","160","","179",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","愛知県","","7316","","304","","325","","335","","359","","391","","385","","415","","455","","524","","604","","511","","436","","392","","446","","479","","404","","277","","273",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","三重県","","1736","","64","","71","","78","","84","","76","","73","","84","","96","","115","","134","","117","","110","","108","","124","","126","","108","","79","","90",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","滋賀県","","1385","","59","","65","","68","","72","","70","","67","","75","","84","","99","","108","","90","","82","","80","","92","","91","","73","","51","","60",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","京都府","","2527","","91","","99","","106","","117","","143","","133","","128","","142","","170","","197","","169","","148","","139","","167","","188","","157","","109","","123",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","大阪府","","8623","","325","","342","","362","","402","","464","","448","","462","","506","","597","","721","","621","","514","","453","","546","","608","","536","","369","","346",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","兵庫県","","5369","","207","","223","","237","","258","","255","","233","","263","","303","","364","","429","","372","","332","","318","","371","","393","","326","","232","","253",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","奈良県","","1319","","47","","52","","58","","65","","63","","55","","60","","69","","84","","100","","89","","81","","81","","98","","103","","89","","60","","65",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","和歌山県","","918","","32","","36","","39","","43","","36","","34","","41","","47","","56","","67","","60","","59","","61","","71","","72","","62","","46","","55",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","鳥取県","","551","","22","","23","","25","","26","","21","","21","","26","","31","","36","","37","","33","","34","","38","","44","","40","","31","","26","","36",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","島根県","","665","","26","","28","","29","","31","","24","","24","","30","","35","","41","","43","","38","","40","","45","","54","","52","","40","","35","","50",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","岡山県","","1866","","74","","79","","83","","90","","91","","86","","94","","104","","122","","138","","113","","107","","113","","129","","139","","112","","84","","106",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","広島県","","2761","","109","","121","","125","","131","","129","","123","","140","","158","","187","","214","","178","","161","","164","","193","","204","","163","","117","","141",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","山口県","","1340","","47","","53","","57","","61","","53","","51","","60","","70","","84","","95","","81","","78","","87","","108","","111","","90","","69","","86",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","徳島県","","723","","25","","27","","29","","32","","29","","27","","33","","39","","46","","50","","45","","45","","51","","60","","58","","44","","36","","47",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","香川県","","945","","36","","39","","41","","45","","39","","36","","45","","52","","64","","71","","58","","55","","61","","71","","76","","57","","44","","57",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","愛媛県","","1328","","48","","54","","57","","61","","51","","49","","61","","71","","86","","95","","83","","83","","89","","106","","105","","82","","65","","83",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","高知県","","693","","24","","26","","28","","31","","26","","24","","30","","36","","44","","49","","41","","43","","47","","56","","58","","46","","36","","50",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","福岡県","","5039","","214","","225","","227","","236","","259","","241","","269","","310","","349","","371","","316","","295","","308","","365","","344","","272","","203","","236",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","佐賀県","","808","","34","","37","","39","","41","","34","","32","","40","","46","","51","","53","","48","","50","","56","","64","","55","","44","","36","","47",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","長崎県","","1318","","52","","56","","59","","61","","48","","50","","60","","70","","79","","87","","82","","86","","95","","111","","97","","78","","65","","81",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","熊本県","","1731","","73","","79","","80","","81","","71","","71","","86","","98","","108","","111","","104","","108","","120","","135","","120","","96","","83","","108",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","大分県","","1123","","42","","47","","49","","51","","44","","43","","53","","62","","73","","76","","67","","67","","76","","90","","87","","69","","56","","71",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","宮崎県","","1065","","44","","49","","50","","50","","39","","39","","49","","59","","67","","69","","62","","67","","76","","88","","78","","61","","53","","66",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","鹿児島県","","1589","","66","","72","","74","","72","","58","","60","","75","","89","","97","","98","","94","","103","","119","","132","","109","","89","","78","","104",""
"人口【千人】","男女計","日本人人口","2019年10月1日現在","沖縄県","","1434","","80","","83","","81","","79","","70","","72","","84","","92","","99","","104","","90","","88","","92","","97","","65","","55","","49","","54",""
"人口【千人】","男","総人口","2019年10月1日現在","全国","","61411","","2438","","2612","","2740","","2985","","3299","","3216","","3447","","3828","","4417","","4957","","4309","","3852","","3713","","4217","","4095","","3238","","2198","","1851",""
"人口【千人】","男","総人口","2019年10月1日現在","北海道","","2472","","87","","98","","104","","114","","120","","115","","128","","146","","174","","191","","167","","163","","165","","199","","177","","135","","99","","90",""
"人口【千人】","男","総人口","2019年10月1日現在","青森県","","585","","20","","23","","25","","28","","25","","25","","28","","34","","39","","43","","40","","42","","44","","50","","44","","32","","24","","20",""
"人口【千人】","男","総人口","2019年10月1日現在","岩手県","","592","","21","","23","","26","","28","","25","","25","","29","","34","","40","","43","","39","","42","","44","","50","","41","","32","","25","","23",""
"人口【千人】","男","総人口","2019年10月1日現在","宮城県","","1127","","43","","47","","50","","55","","63","","62","","65","","71","","80","","85","","74","","72","","76","","85","","72","","55","","39","","35",""
"人口【千人】","男","総人口","2019年10月1日現在","秋田県","","454","","14","","16","","19","","20","","17","","16","","20","","25","","30","","31","","29","","32","","37","","43","","36","","27","","22","","21",""
"人口【千人】","男","総人口","2019年10月1日現在","山形県","","520","","19","","21","","23","","26","","22","","21","","26","","31","","35","","35","","32","","35","","39","","45","","38","","28","","22","","22",""
