"_acquisition_time","Prefecture","Prefecture En","","5/12","5/11","5/10","5/9","5/8","5/7","5/6","5/5","5/4","5/3","5/2","5/1","4/30","4/29","4/28","4/27","4/26","4/25","4/24","4/23","4/22","4/21","4/20","4/19","4/18","4/17","4/16","4/15","4/14","4/13","4/12","4/11","4/10","4/9","4/8","4/7","4/6","4/5","4/4","4/3","4/2","4/1","3/31"
"2020/05/15 02:16:19 -0900","千代田","Chiyoda","","41","41","37","36","36","36","36","36","31","30","28","27","24","24","24","23","23","23","23","22","22","19","19","19","19","19","18","16","12","12","11","10","10","9","9","9","7","6","5","4","4","3","3"
"2020/05/15 02:16:19 -0900","中央","Chuo","","110","97","93","93","93","93","93","93","90","89","89","88","87","87","87","84","80","79","79","74","73","70","68","67","65","58","56","53","51","39","36","35","33","31","31","29","28","25","21","20","19","19","19"
"2020/05/15 02:16:19 -0900","港","Minato","","308","308","294","292","292","292","292","292","289","285","273","270","268","266","264","261","261","251","251","242","238","224","215","212","208","197","179","172","168","163","158","155","143","126","107","89","87","83","67","58","50","40","39"
"2020/05/15 02:16:19 -0900","新宿","Shinjuku","","389","375","363","362","358","353","353","338","336","329","323","311","304","299","299","296","289","282","279","267","260","259","255","227","227","219","205","187","180","177","164","139","133","99","84","80","72","60","39","38","36","30","22"
"2020/05/15 02:16:19 -0900","文京","Bunkyo","","90","86","79","79","79","78","76","75","70","63","62","61","60","60","60","59","59","57","54","53","51","50","46","45","41","39","36","28","26","23","23","22","20","16","12","10","8","8","7","6","4","4","4"
"2020/05/15 02:16:19 -0900","台東","Taito","","172","172","78","77","77","76","76","76","75","75","75","74","66","66","66","65","65","65","64","60","59","59","59","59","55","53","53","49","49","47","47","46","42","40","35","32","31","29","27","25","23","19","15"
"2020/05/15 02:16:19 -0900","墨田","Sumida","","143","142","128","127","125","121","121","121","116","116","116","113","95","95","93","87","86","85","78","74","67","64","60","57","51","48","47","36","35","28","26","25","24","21","14","14","11","11","11","10","7","5","5"
"2020/05/15 02:16:19 -0900","江東","Koto","","212","212","139","138","138","136","135","132","128","126","119","113","106","105","104","101","101","95","93","88","85","81","75","73","68","65","59","57","56","52","51","51","44","39","26","23","22","22","14","13","12","12","10"
"2020/05/15 02:16:19 -0900","品川","Shinagawa","","184","180","179","179","178","178","178","178","177","174","170","169","167","167","161","156","156","155","153","150","145","141","138","132","130","123","111","104","104","94","90","84","70","56","56","49","41","41","38","30","29","24","24"
"2020/05/15 02:16:19 -0900","目黒","Meguro","","162","162","136","135","135","135","131","130","129","128","126","123","121","115","115","115","109","109","104","103","102","102","101","97","94","92","83","80","76","72","63","58","56","54","51","49","44","42","40","34","29","23","21"
"2020/05/15 02:16:19 -0900","大田","Oita","","238","235","202","202","200","197","197","197","197","191","177","153","148","146","142","140","140","140","138","120","109","100","97","96","90","79","79","77","71","67","66","65","58","52","51","45","44","37","28","19","18","16","15"
"2020/05/15 02:16:19 -0900","世田谷","Setagaya","","451","450","430","425","424","417","415","414","415","406","401","392","384","379","377","366","358","349","388","326","317","314","305","293","277","259","247","243","234","205","195","191","173","147","124","118","113","104","93","79","67","54","44"
"2020/05/15 02:16:19 -0900","渋谷","Shibuya","","175","172","171","171","167","165","164","163","160","160","158","154","153","153","152","149","147","145","142","138","133","132","119","118","113","105","94","89","81","72","71","69","64","53","49","41","39","37","32","26","24","21","18"
"2020/05/15 02:16:19 -0900","中野","Nakano","","214","214","177","176","174","174","173","173","173","166","165","158","155","155","152","151","148","148","147","145","136","93","90","90","83","82","79","77","70","67","55","62","53","50","46","43","41","33","29","24","19","18","15"
"2020/05/15 02:16:19 -0900","杉並","Suginami","","245","226","223","222","221","221","221","219","215","202","199","192","183","183","182","177","176","173","165","161","158","154","146","145","134","127","120","115","107","97","92","92","85","77","76","67","60","56","44","37","34","30","28"
"2020/05/15 02:16:19 -0900","豊島","Toshima","","137","136","134","134","131","131","128","128","127","124","124","123","116","116","116","109","109","109","108","104","96","93","88","88","88","79","71","65","62","49","49","49","45","39","31","27","20","20","17","14","13","10","9"
"2020/05/15 02:16:19 -0900","北","Kita","","86","86","86","86","83","80","76","76","75","75","74","74","68","68","68","61","61","61","60","55","53","51","47","45","44","35","34","30","30","23","20","19","17","16","13","11","10","10","9","7","7","7","4"
"2020/05/15 02:16:19 -0900","荒川","Arakawa","","78","55","45","45","45","45","45","45","45","45","40","35","29","27","22","22","22","22","22","20","18","17","14","13","13","13","13","13","13","13","13","11","10","8","7","7","7","6","5","3","3","2","2"
"2020/05/15 02:16:19 -0900","板橋","Itabashi","","135","133","101","100","99","99","99","99","99","97","95","92","91","89","86","86","85","84","81","77","76","75","69","66","64","57","51","51","50","47","46","38","37","32","30","24","23","20","15","13","9","6","4"
